Year;Date;Cod;Product;Sales;Qnt
2009;11/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;43.8;20
2009;12/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;61.32;28
2009;13/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;56.94;26
2009;14/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;124.83;57
2009;15/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;142.35;65
2009;16/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;117.11;49
2009;17/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;186.18;87
2009;18/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;104.86;49
2009;19/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;62.14;26
2009;20/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;81.26;34
2009;21/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;64.53;27
2009;22/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;139.75;65
2009;23/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;62.14;26
2009;24/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;100.38;42
2009;25/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;40.63;17
2009;26/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;47.8;20
2009;27/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;47.8;20
2009;28/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;57.36;24
2009;29/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;88.43;37
2009;30/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;225.75;105
2009;31/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;203.7;90
